building_id,timestamp,meter,meter_reading,primary_use_code,hour,day_of_week,month,air_temperature,dew_temperature,wind_speed,square_feet,age
building1,2016-05-20 18:00:00,0,50.919,6,18,4,5,25.0,18.3,10.3,15250,45
building1,2016-05-20 19:00:00,0,62.659,6,19,4,5,25.6,18.9,5.7,15250,45
building1,2016-05-20 20:00:00,0,62.932,6,20,4,5,28.3,19.4,3.6,15250,45
building1,2016-05-20 21:00:00,0,61.4304,6,21,4,5,30.0,18.9,5.1,15250,45
building1,2016-05-20 22:00:00,0,76.8563,6,22,4,5,27.8,20.0,5.7,15250,45
building1,2016-05-20 23:00:00,0,79.3135,6,23,4,5,27.2,19.4,0.0,15250,45
building1,2016-05-21 00:00:00,0,79.9961,6,0,5,5,26.7,19.4,0.0,15250,45
building1,2016-05-21 01:00:00,0,83.2723,6,1,5,5,25.6,20.6,0.0,15250,45
building1,2016-05-21 02:00:00,0,107.299,6,2,5,5,26.1,20.0,1.5,15250,45
building1,2016-05-21 03:00:00,0,114.124,6,3,5,5,25.0,20.6,0.0,15250,45
building1,2016-05-21 04:00:00,0,100.882,6,4,5,5,25.0,20.6,1.5,15250,45
building1,2016-05-21 05:00:00,0,107.435,6,5,5,5,23.9,20.6,4.1,15250,45
building1,2016-05-21 06:00:00,0,105.251,6,6,5,5,23.3,20.6,1.5,15250,45
building1,2016-05-21 07:00:00,0,97.4696,6,7,5,5,22.8,21.1,5.1,15250,45
building1,2016-05-21 08:00:00,0,104.705,6,8,5,5,22.8,21.1,2.1,15250,45
building1,2016-05-21 09:00:00,0,100.336,6,9,5,5,22.8,21.1,0.0,15250,45
building1,2016-05-21 10:00:00,0,114.124,6,10,5,5,23.3,21.7,0.0,15250,45
building1,2016-05-21 11:00:00,0,90.7805,6,11,5,5,22.2,21.1,0.0,15250,45
building1,2016-05-21 12:00:00,0,106.343,6,12,5,5,23.3,21.1,0.0,15250,45
building1,2016-05-21 13:00:00,0,98.4252,6,13,5,5,25.0,21.7,2.6,15250,45
building1,2016-05-21 14:00:00,0,94.1933,6,14,5,5,26.1,21.7,3.1,15250,45
building1,2016-05-21 15:00:00,0,87.6407,6,15,5,5,26.7,21.1,3.1,15250,45
